uri, type, function, type2, path2, tag
DALLE-pytorch/dalle_pytorch/distributed_utils.py:set_backend_from_args, function, backend.has_backend, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: backend:has_backend
DALLE-pytorch/dalle_pytorch/distributed_utils.py:set_backend_from_args, function, ModuleNotFoundError, , , ModuleNotFoundError
DALLE-pytorch/dalle_pytorch/distributed_utils.py:set_backend_from_args, function, print, , , print
DALLE-pytorch/dalle_pytorch/distributed_utils.py:set_backend_from_args, function, ValueError, , , ValueError
DALLE-pytorch/dalle_pytorch/distributed_utils.py:using_backend, function, require_set_backend, , , require_set_backend
DALLE-pytorch/dalle_pytorch/distributed_utils.py:using_backend, function, isinstance, [BUILT_IN], , [BUILT_IN]: isinstance
DALLE-pytorch/dalle_pytorch/reversible.py:route_args, function, dict, [BUILT_IN], , [BUILT_IN]: dict
DALLE-pytorch/dalle_pytorch/reversible.py:route_args, function, range, , , range
DALLE-pytorch/dalle_pytorch/reversible.py:route_args, function, args.keys, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: args:keys
DALLE-pytorch/dalle_pytorch/reversible.py:route_args, function, enumerate, [BUILT_IN], , [BUILT_IN]: enumerate
DALLE-pytorch/dalle_pytorch/reversible.py:route_args, function, map, , , map
DALLE-pytorch/dalle_pytorch/reversible.py:route_args, function, dict, [BUILT_IN], , [BUILT_IN]: dict
DALLE-pytorch/dalle_pytorch/reversible.py:route_args, function, range, , , range
DALLE-pytorch/dalle_pytorch/reversible.py:route_args, function, args.keys, [CLASS] [SIDE_PACKAGE], , [CLASS] [SIDE_PACKAGE]: args:keys
DALLE-pytorch/dalle_pytorch/reversible.py:route_args, function, enumerate, [BUILT_IN], , [BUILT_IN]: enumerate
DALLE-pytorch/dalle_pytorch/reversible.py:route_args, function, map, , , map
DALLE-pytorch/dalle_pytorch/tokenizer.py:bytes_to_unicode, function, list, , , list
