uri, type, function, detail
./test.py:test_utilmy_pd_os_session, function, os_system, os_system
./test.py:test_utilmy_pd_os_session, function, os_platform_os, os_platform_os
./test.py:test_utilmy_pd_os_session, function, global_verbosity, global_verbosity
./test.py:test_utilmy_session, function, Session, Session
./test.py:test_utilmy_session, function, sess.save, [CLASS]: sess:save
./test.py:test_utilmy_session, function, globals, [built-In]:globals
./test.py:test_utilmy_session, function, os.system, [CLASS]: os:system
./test.py:test_utilmy_session, function, sess.show, [CLASS]: sess:show
./test.py:test_utilmy_session, function, glob.glob, [CLASS]: glob:glob
./test.py:test_utilmy_session, function, sess.load, [CLASS]: sess:load
./test.py:test_docs_cli, function, os.system, [CLASS]: os:system
./test.py:test_decorators_os, function, test_print, test_print
./test.py:test_decorators_os, function, print, [built-In]:print
./test.py:test_decorators_os, function, os_multithread, os_multithread
./test.py:test_decorators_os, function, profiled_sum, profiled_sum
./test.py:test_decorators_os, function, sum, [built-In]:sum
./test.py:test_decorators_os, function, profiler_context, profiler_context
./test.py:test_decorators_os, function, profiler_start, profiler_start
./test.py:test_decorators_os, function, profiler_stop, profiler_stop
./test.py:test_decorators_os, function, dummy_func, dummy_func
./test.py:test_decorators_os, function, time.sleep, [CLASS]: time:sleep
./test.py:test_decorators_os, function, method, method
./test.py:test_decorators_os, function, DummyClass, DummyClass
./test.py:test_decorators_os, function, a.method, [CLASS]: a:method
./test.py:pd_generate_data, function, random.random, [CLASS]: random:random
./test.py:pd_generate_data, function, range, [built-In]:range
./test.py:pd_generate_data, function, pd.DataFrame, [CLASS]: pd:DataFrame
./test.py:pd_generate_data, function, np.where, [CLASS]: np:where
./test.py:test_tabular_test, function, pd_generate_data, pd_generate_data
./test.py:test_tabular_test, function, test_anova, test_anova
./test.py:test_tabular_test, function, test_normality2, test_normality2
./test.py:test_tabular_test, function, test_plot_qqplot, test_plot_qqplot
./test.py:test_text_similarity, function, pd.DataFrame, [CLASS]: pd:DataFrame
./test.py:test_text_similarity, function, text.pd_similarity, [CLASS]: text:pd_similarity
./test.py:test_text_similarity, function, SequenceMatcher, SequenceMatcher
./test.py:test_text_similarity, function, pd.Series, [CLASS]: pd:Series
./test.py:test_text_similarity, function, check_similarity, check_similarity
./test.py:test_text_similarity, function, assert_series_equal, assert_series_equal
./test.py:test_text_pdcluster, function, test_lsh, test_lsh
./utilmy/dates.py:log, function, print, [built-In]:print
./utilmy/dates.py:pd_date_split, function, df.drop_duplicates, [CLASS]: df:drop_duplicates
./utilmy/dates.py:pd_date_split, function, pd.to_datetime, [CLASS]: pd:to_datetime
./utilmy/dates.py:pd_date_split, function, x.weekday, [CLASS]: x:weekday
./utilmy/dates.py:pd_date_split, function, date_weekmonth, date_weekmonth
./utilmy/dates.py:pd_date_split, function, date_weekmonth2, date_weekmonth2
./utilmy/dates.py:pd_date_split, function, x.isocalendar, [CLASS]: x:isocalendar
./utilmy/dates.py:pd_date_split, function, date_weekyear2, date_weekyear2
./utilmy/dates.py:pd_date_split, function, df.apply, [CLASS]: df:apply
./utilmy/dates.py:pd_date_split, function, int, [built-In]:int
./utilmy/dates.py:pd_date_split, function, merge1, merge1
./utilmy/dates.py:pd_date_split, function, date_is_holiday, date_is_holiday
./utilmy/dates.py:pd_date_split, function, log, log
./utilmy/dates.py:date_now, function, datetime.now, [CLASS]: datetime:now
./utilmy/dates.py:date_now, function, datetime.timedelta, [CLASS]: datetime:timedelta
./utilmy/dates.py:date_now, function, now_new.astimezone, [CLASS]: now_new:astimezone
./utilmy/dates.py:date_now, function, now_pacific.strftime, [CLASS]: now_pacific:strftime
./utilmy/dates.py:date_is_holiday, function, holidays.CountryHoliday, [CLASS]: holidays:CountryHoliday
./utilmy/dates.py:date_is_holiday, function, np.array, [CLASS]: np:array
./utilmy/dates.py:date_is_holiday, function, x.astype, [CLASS]: x:astype
./utilmy/dates.py:date_weekmonth, function, date_weekmonth, date_weekmonth
./utilmy/dates.py:date_weekmonth, function, date_value.replace, [CLASS]: date_value:replace
./utilmy/dates.py:date_weekyear2, function, datetime.datetime, [CLASS]: datetime:datetime
./utilmy/dates.py:date_weekday_excel, function, arrow.get, [CLASS]: arrow:get
./utilmy/dates.py:date_weekday_excel, function, str, [built-In]:str
./utilmy/dates.py:date_weekyear_excel, function, arrow.get, [CLASS]: arrow:get
./utilmy/dates.py:date_weekyear_excel, function, str, [built-In]:str
./utilmy/dates.py:date_weekyear_excel, function, dd.isocalendar, [CLASS]: dd:isocalendar
./utilmy/dates.py:date_weekyear_excel, function, date_weekday_excel, date_weekday_excel
./utilmy/dates.py:date_weekyear_excel, function, int, [built-In]:int
./utilmy/dates.py:date_generate, function, relativedelta, relativedelta
./utilmy/dates.py:date_generate, function, range, [built-In]:range
./utilmy/decorators.py:timeout, function, decorator, decorator
./utilmy/decorators.py:timeout, function, _handle_timeout, _handle_timeout
./utilmy/decorators.py:timeout, function, _TimeoutError, _TimeoutError
./utilmy/decorators.py:timeout, function, wrapper, wrapper
./utilmy/decorators.py:timeout, function, signal.signal, [CLASS]: signal:signal
./utilmy/decorators.py:timeout, function, signal.alarm, [CLASS]: signal:alarm
./utilmy/decorators.py:timeout, function, func, func
./utilmy/decorators.py:timeout, function, wraps, wraps
./utilmy/decorators.py:timer, function, wrapper, wrapper
./utilmy/decorators.py:timer, function, time.perf_counter, [CLASS]: time:perf_counter
./utilmy/decorators.py:timer, function, func, func
./utilmy/decorators.py:timer, function, print, [built-In]:print
./utilmy/decorators.py:profiler_context, function, Profiler, Profiler
./utilmy/decorators.py:profiler_context, function, profiler.start, [CLASS]: profiler:start
./utilmy/decorators.py:profiler_context, function, profiler.stop, [CLASS]: profiler:stop
./utilmy/decorators.py:profiler_context, function, print, [built-In]:print
./utilmy/decorators.py:profiler_deco, function, wrapper, wrapper
./utilmy/decorators.py:profiler_deco, function, Profiler, Profiler
./utilmy/decorators.py:profiler_deco, function, profiler.start, [CLASS]: profiler:start
./utilmy/decorators.py:profiler_deco, function, func, func
./utilmy/decorators.py:profiler_deco, function, profiler.stop, [CLASS]: profiler:stop
./utilmy/decorators.py:profiler_deco, function, print, [built-In]:print
