model_type,worda,wordb,value,worda_freq
cocount,number,power,1.0,12
cocount,number,active,0.0,12
cocount,number,also,0.0,12
cocount,number,american,0.0,12
cocount,number,animal,0.0,12
cocount,number,author,0.0,12
cocount,number,began,0.0,12
cocount,number,california,0.0,12
cocount,number,called,0.0,12
cocount,number,change,0.0,12
cocount,number,chemical,0.0,12
cocount,number,chemistry,0.0,12
cocount,number,city,0.0,12
cocount,number,cloud,0.0,12
cocount,number,colorado,0.0,12
model,prevented,also,0.25663110613822937,6
model,prevented,cloud,0.22560621798038483,6
model,prevented,year,0.22214125096797943,6
model,prevented,information,0.2193240523338318,6
model,prevented,number,0.21075448393821716,6
model,prevented,chemical,0.20728027820587158,6
model,prevented,effect,0.20712637901306152,6
model,prevented,chemistry,0.2049788534641266,6
model,prevented,however,0.20455655455589294,6
model,prevented,government,0.203508198261261,6
model,prevented,various,0.20245341956615448,6
model,prevented,end,0.20065021514892578,6
model,prevented,change,0.19770462810993195,6
model,prevented,family,0.19484758377075195,6
model,prevented,world,0.192978173494339,6
model,prevented,ss,0.19010190665721893,6
model,prevented,set,0.1885611116886139,6
model,prevented,power,0.18544048070907593,6
model,prevented,theory,0.18260546028614044,6
model,prevented,interest,0.1785845160484314,6
cocount,prevented,ss,12.0,6
cocount,prevented,family,4.0,6
cocount,prevented,power,4.0,6
cocount,prevented,effect,2.0,6
cocount,prevented,end,1.0,6
cocount,prevented,set,1.0,6
cocount,prevented,active,0.0,6
cocount,prevented,also,0.0,6
cocount,prevented,american,0.0,6
cocount,prevented,animal,0.0,6
cocount,prevented,author,0.0,6
cocount,prevented,began,0.0,6
cocount,prevented,california,0.0,6
cocount,prevented,called,0.0,6
cocount,prevented,change,0.0,6
cocount,prevented,chemical,0.0,6
cocount,prevented,chemistry,0.0,6
cocount,prevented,city,0.0,6
cocount,prevented,cloud,0.0,6
cocount,prevented,colorado,0.0,6
model,substance,ss,0.8826758861541748,19
model,substance,family,0.8815526962280273,19
model,substance,end,0.8811827898025513,19
model,substance,power,0.880617618560791,19
model,substance,set,0.8799240589141846,19
model,substance,effect,0.8753923177719116,19
model,substance,government,0.8633654117584229,19
model,substance,different,0.860977053642273,19
model,substance,opposed,0.846948504447937,19
model,substance,information,0.8341056704521179,19
model,substance,change,0.8336806297302246,19
model,substance,growth,0.8115949630737305,19
model,substance,number,0.8065142631530762,19
model,substance,however,0.7904081344604492,19
model,substance,began,0.7872929573059082,19
model,substance,american,0.7780683040618896,19
model,substance,legal,0.7595287561416626,19
model,substance,year,0.7573677897453308,19
model,substance,cloud,0.7475069761276245,19
model,substance,chemistry,0.7128438353538513,19
cocount,substance,ss,38.0,19
cocount,substance,family,12.0,19
cocount,substance,set,8.0,19
cocount,substance,effect,7.0,19
cocount,substance,end,6.0,19
cocount,substance,power,5.0,19
cocount,substance,active,0.0,19
cocount,substance,also,0.0,19
cocount,substance,american,0.0,19
cocount,substance,animal,0.0,19
cocount,substance,author,0.0,19
cocount,substance,began,0.0,19
cocount,substance,california,0.0,19
cocount,substance,called,0.0,19
cocount,substance,change,0.0,19
cocount,substance,chemical,0.0,19
cocount,substance,chemistry,0.0,19
cocount,substance,city,0.0,19
cocount,substance,cloud,0.0,19
cocount,substance,colorado,0.0,19
model,including,lake,0.39790964126586914,7
model,including,may,0.3867219388484955,7
model,including,end,0.3763390779495239,7
model,including,effect,0.3732338547706604,7
model,including,different,0.37260159850120544,7
model,including,also,0.37077322602272034,7
model,including,family,0.37037694454193115,7
model,including,ss,0.3701668381690979,7
model,including,power,0.37000536918640137,7
model,including,information,0.3659549355506897,7
model,including,however,0.3642539381980896,7
model,including,cloud,0.36422115564346313,7
model,including,set,0.3636874556541443,7
model,including,government,0.35173916816711426,7
model,including,opposed,0.35033518075942993,7
model,including,year,0.34102919697761536,7
model,including,american,0.3365122973918915,7
model,including,economic,0.328578382730484,7
model,including,began,0.32659727334976196,7
model,including,chemistry,0.31756865978240967,7
cocount,including,ss,14.0,7
cocount,including,family,4.0,7
cocount,including,effect,3.0,7
cocount,including,end,3.0,7
cocount,including,power,3.0,7
cocount,including,set,1.0,7
cocount,including,active,0.0,7
cocount,including,also,0.0,7
cocount,including,american,0.0,7
cocount,including,animal,0.0,7
cocount,including,author,0.0,7
cocount,including,began,0.0,7
cocount,including,california,0.0,7
cocount,including,called,0.0,7
cocount,including,change,0.0,7
cocount,including,chemical,0.0,7
cocount,including,chemistry,0.0,7
cocount,including,city,0.0,7
cocount,including,cloud,0.0,7
cocount,including,colorado,0.0,7
model,rule,effect,0.6381168961524963,20
model,rule,end,0.636225700378418,20
model,rule,ss,0.6350005269050598,20
model,rule,family,0.6304444074630737,20
model,rule,opposed,0.6272057294845581,20
model,rule,power,0.6259293556213379,20
model,rule,government,0.6207600831985474,20
model,rule,set,0.6199043989181519,20
model,rule,information,0.6158635020256042,20
model,rule,began,0.6122390031814575,20
model,rule,change,0.6084489822387695,20
model,rule,different,0.5929549932479858,20
model,rule,however,0.5697747468948364,20
model,rule,growth,0.5690219402313232,20
model,rule,legal,0.5575435757637024,20
model,rule,chemistry,0.5510359406471252,20
model,rule,american,0.548331618309021,20
model,rule,substance,0.5445135235786438,20
model,rule,economic,0.5412618517875671,20
model,rule,various,0.5251680612564087,20
cocount,rule,ss,40.0,20
cocount,rule,family,19.0,20
cocount,rule,effect,7.0,20
cocount,rule,power,6.0,20
cocount,rule,set,5.0,20
cocount,rule,end,3.0,20
cocount,rule,active,0.0,20
cocount,rule,also,0.0,20
cocount,rule,american,0.0,20
cocount,rule,animal,0.0,20
cocount,rule,author,0.0,20
cocount,rule,began,0.0,20
cocount,rule,california,0.0,20
cocount,rule,called,0.0,20
cocount,rule,change,0.0,20
cocount,rule,chemical,0.0,20
cocount,rule,chemistry,0.0,20
cocount,rule,city,0.0,20
cocount,rule,cloud,0.0,20
cocount,rule,colorado,0.0,20
model,university,set,0.7282000780105591,7
model,university,ss,0.7281721830368042,7
model,university,end,0.727410614490509,7
model,university,family,0.7266964912414551,7
model,university,power,0.7217947244644165,7
model,university,different,0.7193940281867981,7
model,university,effect,0.7164736986160278,7
model,university,government,0.7039632201194763,7
model,university,change,0.7007119655609131,7
model,university,information,0.7005193829536438,7
model,university,however,0.6945714950561523,7
model,university,opposed,0.685680091381073,7
model,university,number,0.6844692230224609,7
model,university,substance,0.6554206609725952,7
model,university,also,0.652613639831543,7
model,university,one,0.644951343536377,7
model,university,growth,0.6372269988059998,7
model,university,cloud,0.6134320497512817,7
model,university,american,0.6096115708351135,7
model,university,country,0.5729885101318359,7
cocount,university,ss,14.0,7
cocount,university,effect,6.0,7
cocount,university,power,5.0,7
cocount,university,set,2.0,7
cocount,university,end,1.0,7
cocount,university,active,0.0,7
cocount,university,also,0.0,7
cocount,university,american,0.0,7
cocount,university,animal,0.0,7
cocount,university,author,0.0,7
cocount,university,began,0.0,7
cocount,university,california,0.0,7
cocount,university,called,0.0,7
cocount,university,change,0.0,7
cocount,university,chemical,0.0,7
cocount,university,chemistry,0.0,7
cocount,university,city,0.0,7
cocount,university,cloud,0.0,7
cocount,university,colorado,0.0,7
cocount,university,country,0.0,7
model,cloud,effect,0.837631344795227,19
model,cloud,set,0.8371796607971191,19
model,cloud,ss,0.832776665687561,19
model,cloud,government,0.8318314552307129,19
model,cloud,power,0.831558108329773,19
model,cloud,family,0.8309590816497803,19
model,cloud,end,0.8305895924568176,19
model,cloud,different,0.8108758330345154,19
model,cloud,information,0.8077727556228638,19
model,cloud,number,0.780720055103302,19
model,cloud,opposed,0.780494213104248,19
model,cloud,however,0.7786912322044373,19
model,cloud,change,0.7715868353843689,19
model,cloud,growth,0.7566126585006714,19
model,cloud,substance,0.7475070357322693,19
model,cloud,american,0.7229360342025757,19
model,cloud,legal,0.7160056233406067,19
model,cloud,also,0.7154131531715393,19
model,cloud,began,0.7066441774368286,19
model,cloud,french,0.6818827986717224,19
cocount,cloud,ss,38.0,19
cocount,cloud,family,16.0,19
cocount,cloud,power,9.0,19
cocount,cloud,effect,6.0,19
cocount,cloud,end,5.0,19
cocount,cloud,set,2.0,19
cocount,cloud,active,0.0,19
cocount,cloud,also,0.0,19
cocount,cloud,american,0.0,19
cocount,cloud,animal,0.0,19
cocount,cloud,author,0.0,19
cocount,cloud,began,0.0,19
cocount,cloud,california,0.0,19
cocount,cloud,called,0.0,19
cocount,cloud,change,0.0,19
cocount,cloud,chemical,0.0,19
cocount,cloud,chemistry,0.0,19
cocount,cloud,city,0.0,19
cocount,cloud,cloud,0.0,19
cocount,cloud,colorado,0.0,19
model,study,information,0.5270729064941406,11
model,study,growth,0.5267364978790283,11
model,study,american,0.5215582251548767,11
model,study,economic,0.5204797983169556,11
model,study,however,0.513942539691925,11
model,study,number,0.5084799528121948,11
model,study,power,0.5012475252151489,11
model,study,family,0.5010700225830078,11
model,study,change,0.4995253384113312,11
model,study,set,0.49856436252593994,11
model,study,ss,0.4941251277923584,11
model,study,effect,0.4921354055404663,11
model,study,france,0.4916563332080841,11
model,study,government,0.4915255010128021,11
model,study,end,0.4879871606826782,11
model,study,different,0.4860069751739502,11
model,study,cloud,0.43591517210006714,11
model,study,opposed,0.4334447681903839,11
model,study,began,0.431678831577301,11
model,study,year,0.41845524311065674,11
cocount,study,ss,22.0,11
cocount,study,family,7.0,11
cocount,study,set,5.0,11
cocount,study,end,4.0,11
cocount,study,power,4.0,11
cocount,study,effect,2.0,11
cocount,study,active,0.0,11
cocount,study,also,0.0,11
cocount,study,american,0.0,11
cocount,study,animal,0.0,11
cocount,study,author,0.0,11
cocount,study,began,0.0,11
cocount,study,california,0.0,11
cocount,study,called,0.0,11
cocount,study,change,0.0,11
cocount,study,chemical,0.0,11
cocount,study,chemistry,0.0,11
cocount,study,city,0.0,11
cocount,study,cloud,0.0,11
cocount,study,colorado,0.0,11
model,war,family,0.684693455696106,17
model,war,power,0.6841930747032166,17
model,war,effect,0.68198561668396,17
model,war,different,0.6797820329666138,17
model,war,ss,0.6750426292419434,17
model,war,set,0.6715009808540344,17
model,war,information,0.6702213883399963,17
model,war,end,0.6699662208557129,17
model,war,government,0.6590582728385925,17
model,war,however,0.6379151344299316,17
model,war,growth,0.6355205178260803,17
model,war,opposed,0.6293995380401611,17
model,war,number,0.6186805963516235,17
model,war,substance,0.6083763837814331,17
model,war,change,0.6010763645172119,17
model,war,land,0.5883969068527222,17
model,war,economic,0.581859290599823,17
model,war,american,0.5677880048751831,17
model,war,cloud,0.5658887624740601,17
model,war,chemistry,0.5560387372970581,17
cocount,war,ss,34.0,17
cocount,war,family,13.0,17
cocount,war,set,9.0,17
cocount,war,power,6.0,17
cocount,war,effect,4.0,17
cocount,war,end,2.0,17
cocount,war,active,0.0,17
cocount,war,also,0.0,17
cocount,war,american,0.0,17
cocount,war,animal,0.0,17
cocount,war,author,0.0,17
cocount,war,began,0.0,17
cocount,war,california,0.0,17
cocount,war,called,0.0,17
cocount,war,change,0.0,17
cocount,war,chemical,0.0,17
cocount,war,chemistry,0.0,17
cocount,war,city,0.0,17
cocount,war,cloud,0.0,17
cocount,war,colorado,0.0,17
